Cell Ref.,Independent,Dependent,Main Score,Conservation,Industry
,,,,,
B-2,Clouds,Clouds,NA,NA,NA
B-3,Clouds,Precipitation,(+ -),(+ -),(+ -)
B-4,Clouds,Winds/ storms,0,0,0
B-5,Clouds,CO2,0,0,0
B-6,Clouds,DMS,0,0,0
B-7,Clouds,Freshwater,0,0,0
B-8,Clouds,Allochthonous organic carbon inputs,0,0,0
B-9,Clouds,Allochthonous nutrient inputs,0,0,0
B-10,Clouds,Allochthonous sediment inputs,0,0,0
B-11,Clouds,Sea ice (extent/ thickness),0,0,0
B-12,Clouds,Stratification,0,0,0
B-13,Clouds,Light,-,-,-
B-14,Clouds,Temperature,++ ,+ +,+ +
B-15,Clouds,pH,0,0,0
B-16,Clouds,Nutrients,0,0,0
B-17,Clouds,Primary Production,0,0,0
B-18,Clouds,Respiration,0,0,0
B-19,Clouds,Higher trophic levels,0,0,0
B-20,Clouds,Development,0,0,0
B-21,Clouds,Tourism,(-),(-),(-)
B-22,Clouds,Arctic policy and management,0,0,0
B-23,Clouds,Resource extraction ,0,0,0
B-24,Clouds,Pollution,(+ -),(+ -),(+ -)
C-2,Precipitation,Clouds,-,-,-
C-3,Precipitation,Precipitation,NA,NA,NA
C-4,Precipitation,Winds/ storms,0,0,0
C-5,Precipitation,CO2,0,0,0
C-6,Precipitation,DMS,0,0,0
C-7,Precipitation,Freshwater,+ +,+ +,+ +
C-8,Precipitation,Allochthonous organic carbon inputs,0,0,0
C-9,Precipitation,Allochthonous nutrient inputs,0,0,0
C-10,Precipitation,Allochthonous sediment inputs,0,0,0
C-11,Precipitation,Sea ice (extent/ thickness),-,-,-
C-12,Precipitation,Stratification,0,0,0
C-13,Precipitation,Light,0,0,0
C-14,Precipitation,Temperature,0,0,0
C-15,Precipitation,pH,-,-,-
C-16,Precipitation,Nutrients,0,0,0
C-17,Precipitation,Primary Production,0,0,0
C-18,Precipitation,Respiration,0,0,0
C-19,Precipitation,Higher trophic levels,0,0,0
C-20,Precipitation,Development,0,0,0
C-21,Precipitation,Tourism,(-),(-),(-)
C-22,Precipitation,Arctic policy and management,0,0,0
C-23,Precipitation,Resource extraction ,0,0,0
C-24,Precipitation,Pollution,+,+,+
D-2,Winds/ storms,Clouds,0,0,0
D-3,Winds/ storms,Precipitation,0,0,0
D-4,Winds/ storms,Winds/ storms,NA,NA,NA
D-5,Winds/ storms,CO2,+ -,+ -,+ -
D-6,Winds/ storms,DMS,+,+,+
D-7,Winds/ storms,Freshwater,0,0,0
D-8,Winds/ storms,Allochthonous organic carbon inputs,0,0,0
D-9,Winds/ storms,Allochthonous nutrient inputs,0,0,0
D-10,Winds/ storms,Allochthonous sediment inputs,0,0,0
D-11,Winds/ storms,Sea ice (extent/ thickness),-,-,-
D-12,Winds/ storms,Stratification,- -,- -,- -
D-13,Winds/ storms,Light,-,-,-
D-14,Winds/ storms,Temperature,+ -,+ -,+ -
D-15,Winds/ storms,pH,0,0,0
D-16,Winds/ storms,Nutrients,0,0,0
D-17,Winds/ storms,Primary Production,0,0,0
D-18,Winds/ storms,Respiration,0,0,0
D-19,Winds/ storms,Higher trophic levels,0,0,0
D-20,Winds/ storms,Development,0,0,0
D-21,Winds/ storms,Tourism,(-),(-),(-)
D-22,Winds/ storms,Arctic policy and management,0,0,0
D-23,Winds/ storms,Resource extraction ,0,0,0
D-24,Winds/ storms,Pollution,+,+,+
E-2,CO2,Clouds,0,0,0
E-3,CO2,Precipitation,0,0,0
E-4,CO2,Winds/ storms,0,0,0
E-5,CO2,CO2,NA,NA,NA
E-6,CO2,DMS,0,0,0
E-7,CO2,Freshwater,0,0,0
E-8,CO2,Allochthonous organic carbon inputs,0,0,0
E-9,CO2,Allochthonous nutrient inputs,0,0,0
E-10,CO2,Allochthonous sediment inputs,0,0,0
E-11,CO2,Sea ice (extent/ thickness),0,0,0
E-12,CO2,Stratification,0,0,0
E-13,CO2,Light,0,0,0
E-14,CO2,Temperature,+ + +,+ + +,+ + +
E-15,CO2,pH,- -,- -,- -
E-16,CO2,Nutrients,0,0,0
E-17,CO2,Primary Production,+,+,+
E-18,CO2,Respiration,0,0,0
E-19,CO2,Higher trophic levels,0,0,0
E-20,CO2,Development,0,0,0
E-21,CO2,Tourism,0,0,0
E-22,CO2,Arctic policy and management,0,0,0
E-23,CO2,Resource extraction ,0,0,0
E-24,CO2,Pollution,0,0,0
F-2,DMS,Clouds,+ +,+ +,+ +
F-3,DMS,Precipitation,0,0,0
F-4,DMS,Winds/ storms,0,0,0
F-5,DMS,CO2,0,0,0
F-6,DMS,DMS,NA,NA,NA
F-7,DMS,Freshwater,0,0,0
F-8,DMS,Allochthonous organic carbon inputs,0,0,0
F-9,DMS,Allochthonous nutrient inputs,0,0,0
F-10,DMS,Allochthonous sediment inputs,0,0,0
F-11,DMS,Sea ice (extent/ thickness),0,0,0
F-12,DMS,Stratification,0,0,0
F-13,DMS,Light,0,0,0
F-14,DMS,Temperature,0,0,0
F-15,DMS,pH,0,0,0
F-16,DMS,Nutrients,0,0,0
F-17,DMS,Primary Production,0,0,0
F-18,DMS,Respiration,0,0,0
F-19,DMS,Higher trophic levels,0,0,0
F-20,DMS,Development,0,0,0
F-21,DMS,Tourism,0,0,0
F-22,DMS,Arctic policy and management,0,0,0
F-23,DMS,Resource extraction ,0,0,0
F-24,DMS,Pollution,0,0,0
G-2,Freshwater,Clouds,0,0,0
G-3,Freshwater,Precipitation,0,0,0
G-4,Freshwater,Winds/ storms,0,0,0
G-5,Freshwater,CO2,0,0,0
G-6,Freshwater,DMS,0,0,0
G-7,Freshwater,Freshwater,NA,NA,NA
G-8,Freshwater,Allochthonous organic carbon inputs,+,+,+
G-9,Freshwater,Allochthonous nutrient inputs,(+),(+),(+)
G-10,Freshwater,Allochthonous sediment inputs,+,+,+
G-11,Freshwater,Sea ice (extent/ thickness),+,+,+
G-12,Freshwater,Stratification,+ + +,+ + +,+ + +
G-13,Freshwater,Light,0,0,0
G-14,Freshwater,Temperature,+,+,+
G-15,Freshwater,pH,- -,- -,- -
G-16,Freshwater,Nutrients,0,0,0
G-17,Freshwater,Primary Production,-,-,-
G-18,Freshwater,Respiration,0,0,0
G-19,Freshwater,Higher trophic levels,0,0,0
G-20,Freshwater,Development,0,0,0
G-21,Freshwater,Tourism,0,0,0
G-22,Freshwater,Arctic policy and management,0,0,0
G-23,Freshwater,Resource extraction ,0,0,0
G-24,Freshwater,Pollution,(+),(+),(+)
H-2,Allochthonous organic carbon inputs,Clouds,0,0,0
H-3,Allochthonous organic carbon inputs,Precipitation,0,0,0
H-4,Allochthonous organic carbon inputs,Winds/ storms,0,0,0
H-5,Allochthonous organic carbon inputs,CO2,0,0,0
H-6,Allochthonous organic carbon inputs,DMS,0,0,0
H-7,Allochthonous organic carbon inputs,Freshwater,0,0,0
H-8,Allochthonous organic carbon inputs,Allochthonous organic carbon inputs,NA,NA,NA
H-9,Allochthonous organic carbon inputs,Allochthonous nutrient inputs,0,0,0
H-10,Allochthonous organic carbon inputs,Allochthonous sediment inputs,0,0,0
H-11,Allochthonous organic carbon inputs,Sea ice (extent/ thickness),0,0,0
H-12,Allochthonous organic carbon inputs,Stratification,0,0,0
H-13,Allochthonous organic carbon inputs,Light,-,-,-
H-14,Allochthonous organic carbon inputs,Temperature,0,0,0
H-15,Allochthonous organic carbon inputs,pH,0,0,0
H-16,Allochthonous organic carbon inputs,Nutrients,0,0,0
H-17,Allochthonous organic carbon inputs,Primary Production,0,0,0
H-18,Allochthonous organic carbon inputs,Respiration,+ (+),+ (+),+ (+)
H-19,Allochthonous organic carbon inputs,Higher trophic levels,0,0,0
H-20,Allochthonous organic carbon inputs,Development,0,0,0
H-21,Allochthonous organic carbon inputs,Tourism,0,0,0
H-22,Allochthonous organic carbon inputs,Arctic policy and management,0,0,0
H-23,Allochthonous organic carbon inputs,Resource extraction ,0,0,0
H-24,Allochthonous organic carbon inputs,Pollution,(+),(+),(+)
I-2,Allochthonous nutrient inputs,Clouds,0,0,0
I-3,Allochthonous nutrient inputs,Precipitation,0,0,0
I-4,Allochthonous nutrient inputs,Winds/ storms,0,0,0
I-5,Allochthonous nutrient inputs,CO2,0,0,0
I-6,Allochthonous nutrient inputs,DMS,0,0,0
I-7,Allochthonous nutrient inputs,Freshwater,0,0,0
I-8,Allochthonous nutrient inputs,Allochthonous organic carbon inputs,0,0,0
I-9,Allochthonous nutrient inputs,Allochthonous nutrient inputs,NA,NA,NA
I-10,Allochthonous nutrient inputs,Allochthonous sediment inputs,0,0,0
I-11,Allochthonous nutrient inputs,Sea ice (extent/ thickness),0,0,0
I-12,Allochthonous nutrient inputs,Stratification,0,0,0
I-13,Allochthonous nutrient inputs,Light,0,0,0
I-14,Allochthonous nutrient inputs,Temperature,0,0,0
I-15,Allochthonous nutrient inputs,pH,0,0,0
I-16,Allochthonous nutrient inputs,Nutrients,(+),(+),(+)
I-17,Allochthonous nutrient inputs,Primary Production,(+),(+),(+)
I-18,Allochthonous nutrient inputs,Respiration,0,0,0
I-19,Allochthonous nutrient inputs,Higher trophic levels,0,0,0
I-20,Allochthonous nutrient inputs,Development,0,0,0
I-21,Allochthonous nutrient inputs,Tourism,0,0,0
I-22,Allochthonous nutrient inputs,Arctic policy and management,0,0,0
I-23,Allochthonous nutrient inputs,Resource extraction ,0,0,0
I-24,Allochthonous nutrient inputs,Pollution,0,0,0
J-2,Allochthonous sediment inputs,Clouds,0,0,0
J-3,Allochthonous sediment inputs,Precipitation,0,0,0
J-4,Allochthonous sediment inputs,Winds/ storms,0,0,0
J-5,Allochthonous sediment inputs,CO2,0,0,0
J-6,Allochthonous sediment inputs,DMS,0,0,0
J-7,Allochthonous sediment inputs,Freshwater,0,0,0
J-8,Allochthonous sediment inputs,Allochthonous organic carbon inputs,+,+,+
J-9,Allochthonous sediment inputs,Allochthonous nutrient inputs,+,+,+
J-10,Allochthonous sediment inputs,Allochthonous sediment inputs,NA,NA,NA
J-11,Allochthonous sediment inputs,Sea ice (extent/ thickness),0,0,0
J-12,Allochthonous sediment inputs,Stratification,0,0,0
J-13,Allochthonous sediment inputs,Light,- (-),- (-),- (-)
J-14,Allochthonous sediment inputs,Temperature,0,0,0
J-15,Allochthonous sediment inputs,pH,0,0,0
J-16,Allochthonous sediment inputs,Nutrients,0,0,0
J-17,Allochthonous sediment inputs,Primary Production,0,0,0
J-18,Allochthonous sediment inputs,Respiration,0,0,0
J-19,Allochthonous sediment inputs,Higher trophic levels,(-),(-),(-)
J-20,Allochthonous sediment inputs,Development,0,0,0
J-21,Allochthonous sediment inputs,Tourism,0,0,0
J-22,Allochthonous sediment inputs,Arctic policy and management,0,0,0
J-23,Allochthonous sediment inputs,Resource extraction ,0,0,0
J-24,Allochthonous sediment inputs,Pollution,(+),(+),(+)
K-2,Sea ice (extent/ thickness),Clouds,-,-,-
K-3,Sea ice (extent/ thickness),Precipitation,-,-,-
K-4,Sea ice (extent/ thickness),Winds/ storms,-,-,-
K-5,Sea ice (extent/ thickness),CO2,+ -,+ -,+ -
K-6,Sea ice (extent/ thickness),DMS,-,-,-
K-7,Sea ice (extent/ thickness),Freshwater,-,-,-
K-8,Sea ice (extent/ thickness),Allochthonous organic carbon inputs,0,0,0
K-9,Sea ice (extent/ thickness),Allochthonous nutrient inputs,0,0,0
K-10,Sea ice (extent/ thickness),Allochthonous sediment inputs,(+ -),(+ -),(+ -)
K-11,Sea ice (extent/ thickness),Sea ice (extent/ thickness),NA,NA,NA
K-12,Sea ice (extent/ thickness),Stratification,+,+,+
K-13,Sea ice (extent/ thickness),Light,- -,- -,- -
K-14,Sea ice (extent/ thickness),Temperature,- -,- -,- -
K-15,Sea ice (extent/ thickness),pH,(+ -),(+ -),(+ -)
K-16,Sea ice (extent/ thickness),Nutrients,0,0,0
K-17,Sea ice (extent/ thickness),Primary Production,0,0,0
K-18,Sea ice (extent/ thickness),Respiration,0,0,0
K-19,Sea ice (extent/ thickness),Higher trophic levels,+ + - -,+ + - -,+ + - -
K-20,Sea ice (extent/ thickness),Development,- -,- -,- -
K-21,Sea ice (extent/ thickness),Tourism,- -,- -,- -
K-22,Sea ice (extent/ thickness),Arctic policy and management,0,0,0
K-23,Sea ice (extent/ thickness),Resource extraction ,- -,- -,- -
K-24,Sea ice (extent/ thickness),Pollution,0,0,0
L-2,Stratification,Clouds,0,0,0
L-3,Stratification,Precipitation,0,0,0
L-4,Stratification,Winds/ storms,0,0,0
L-5,Stratification,CO2,(+ -),(+ -),(+ -)
L-6,Stratification,DMS,0,0,0
L-7,Stratification,Freshwater,0,0,0
L-8,Stratification,Allochthonous organic carbon inputs,0,0,0
L-9,Stratification,Allochthonous nutrient inputs,0,0,0
L-10,Stratification,Allochthonous sediment inputs,0,0,0
L-11,Stratification,Sea ice (extent/ thickness),+,+,+
L-12,Stratification,Stratification,NA,NA,NA
L-13,Stratification,Light,0,0,0
L-14,Stratification,Temperature,+ +,+ +,+ +
L-15,Stratification,pH,0,0,0
L-16,Stratification,Nutrients,- -,- -,- -
L-17,Stratification,Primary Production,+ -,+ -,+ -
L-18,Stratification,Respiration,0,0,0
L-19,Stratification,Higher trophic levels,0,0,0
L-20,Stratification,Development,0,0,0
L-21,Stratification,Tourism,0,0,0
L-22,Stratification,Arctic policy and management,0,0,0
L-23,Stratification,Resource extraction ,0,0,0
L-24,Stratification,Pollution,0,0,0
M-2,Light,Clouds,0,0,0
M-3,Light,Precipitation,0,0,0
M-4,Light,Winds/ storms,0,0,0
M-5,Light,CO2,0,0,0
M-6,Light,DMS,0,0,0
M-7,Light,Freshwater,0,0,0
M-8,Light,Allochthonous organic carbon inputs,0,0,0
M-9,Light,Allochthonous nutrient inputs,0,0,0
M-10,Light,Allochthonous sediment inputs,0,0,0
M-11,Light,Sea ice (extent/ thickness),0,0,0
M-12,Light,Stratification,0,0,0
M-13,Light,Light,NA,NA,NA
M-14,Light,Temperature,0,0,0
M-15,Light,pH,0,0,0
M-16,Light,Nutrients,0,0,0
M-17,Light,Primary Production,+ + (+),+ + (+),+ + (+)
M-18,Light,Respiration,0,0,0
M-19,Light,Higher trophic levels,(+ -),(+ -),(+ -)
M-20,Light,Development,0,0,0
M-21,Light,Tourism,0,0,0
M-22,Light,Arctic policy and management,0,0,0
M-23,Light,Resource extraction ,0,0,0
M-24,Light,Pollution,0,0,0
N-2,Temperature,Clouds,-,-,-
N-3,Temperature,Precipitation,+,+,+
N-4,Temperature,Winds/ storms,0,0,0
N-5,Temperature,CO2,+ +,+ +,+ +
N-6,Temperature,DMS,+,+,+
N-7,Temperature,Freshwater,+ + +,+ + +,+ + +
N-8,Temperature,Allochthonous organic carbon inputs,0,0,0
N-9,Temperature,Allochthonous nutrient inputs,0,0,0
N-10,Temperature,Allochthonous sediment inputs,0,0,0
N-11,Temperature,Sea ice (extent/ thickness),- - -,- - -,- - -
N-12,Temperature,Stratification,+ +,+ +,+ +
N-13,Temperature,Light,0,0,0
N-14,Temperature,Temperature,NA,NA,NA
N-15,Temperature,pH,0,0,0
N-16,Temperature,Nutrients,0,0,0
N-17,Temperature,Primary Production,+ ,+,+
N-18,Temperature,Respiration,++,++,++
N-19,Temperature,Higher trophic levels,+ + - -,+ + - -,+ + - -
N-20,Temperature,Development,0,0,0
N-21,Temperature,Tourism,0,0,0
N-22,Temperature,Arctic policy and management,0,0,0
N-23,Temperature,Resource extraction ,0,0,0
N-24,Temperature,Pollution,0,0,0
O-2,pH,Clouds,0,0,0
O-3,pH,Precipitation,0,0,0
O-4,pH,Winds/ storms,0,0,0
O-5,pH,CO2,- -,- -,- -
O-6,pH,DMS,0,0,0
O-7,pH,Freshwater,0,0,0
O-8,pH,Allochthonous organic carbon inputs,0,0,0
O-9,pH,Allochthonous nutrient inputs,0,0,0
O-10,pH,Allochthonous sediment inputs,0,0,0
O-11,pH,Sea ice (extent/ thickness),0,0,0
O-12,pH,Stratification,0,0,0
O-13,pH,Light,0,0,0
O-14,pH,Temperature,0,0,0
O-15,pH,pH,NA,NA,NA
O-16,pH,Nutrients,0,0,0
O-17,pH,Primary Production,0,0,0
O-18,pH,Respiration,0,0,0
O-19,pH,Higher trophic levels,+ ,+,+
O-20,pH,Development,0,0,0
O-21,pH,Tourism,0,0,0
O-22,pH,Arctic policy and management,0,0,0
O-23,pH,Resource extraction ,0,0,0
O-24,pH,Pollution,0,0,0
P-2,Nutrients,Clouds,0,0,0
P-3,Nutrients,Precipitation,0,0,0
P-4,Nutrients,Winds/ storms,0,0,0
P-5,Nutrients,CO2,0,0,0
P-6,Nutrients,DMS,0,0,0
P-7,Nutrients,Freshwater,0,0,0
P-8,Nutrients,Allochthonous organic carbon inputs,0,0,0
P-9,Nutrients,Allochthonous nutrient inputs,0,0,0
P-10,Nutrients,Allochthonous sediment inputs,0,0,0
P-11,Nutrients,Sea ice (extent/ thickness),0,0,0
P-12,Nutrients,Stratification,0,0,0
P-13,Nutrients,Light,0,0,0
P-14,Nutrients,Temperature,0,0,0
P-15,Nutrients,pH,+ -,+ -,+ -
P-16,Nutrients,Nutrients,NA,NA,NA
P-17,Nutrients,Primary Production,+ + (+),+ + (+),+ + (+)
P-18,Nutrients,Respiration,(+),(+),(+)
P-19,Nutrients,Higher trophic levels,0,0,0
P-20,Nutrients,Development,0,0,0
P-21,Nutrients,Tourism,0,0,0
P-22,Nutrients,Arctic policy and management,0,0,0
P-23,Nutrients,Resource extraction ,0,0,0
P-24,Nutrients,Pollution,0,0,0
Q-2,Primary Production,Clouds,0,0,0
Q-3,Primary Production,Precipitation,0,0,0
Q-4,Primary Production,Winds/ storms,0,0,0
Q-5,Primary Production,CO2,- (-),- (-),- (-)
Q-6,Primary Production,DMS,+ +,+ +,+ +
Q-7,Primary Production,Freshwater,0,0,0
Q-8,Primary Production,Allochthonous organic carbon inputs,0,0,0
Q-9,Primary Production,Allochthonous nutrient inputs,0,0,0
Q-10,Primary Production,Allochthonous sediment inputs,0,0,0
Q-11,Primary Production,Sea ice (extent/ thickness),0,0,0
Q-12,Primary Production,Stratification,0,0,0
Q-13,Primary Production,Light,0,0,0
Q-14,Primary Production,Temperature,0,0,0
Q-15,Primary Production,pH,0,0,0
Q-16,Primary Production,Nutrients,- - -,- - -,- - -
Q-17,Primary Production,Primary Production,NA,NA,NA
Q-18,Primary Production,Respiration,+ + +,+ + +,+ + + 
Q-19,Primary Production,Higher trophic levels,+ + +,+ + +,+ + +
Q-20,Primary Production,Development,0,0,0
Q-21,Primary Production,Tourism,0,0,0
Q-22,Primary Production,Arctic policy and management,0,0,0
Q-23,Primary Production,Resource extraction ,0,0,0
Q-24,Primary Production,Pollution,0,0,0
R-2,Respiration,Clouds,0,0,0
R-3,Respiration,Precipitation,0,0,0
R-4,Respiration,Winds/ storms,0,0,0
R-5,Respiration,CO2,+ +,+ +,+ +
R-6,Respiration,DMS,0,0,0
R-7,Respiration,Freshwater,0,0,0
R-8,Respiration,Allochthonous organic carbon inputs,0,0,0
R-9,Respiration,Allochthonous nutrient inputs,0,0,0
R-10,Respiration,Allochthonous sediment inputs,0,0,0
R-11,Respiration,Sea ice (extent/ thickness),0,0,0
R-12,Respiration,Stratification,0,0,0
R-13,Respiration,Light,0,0,0
R-14,Respiration,Temperature,0,0,0
R-15,Respiration,pH,0,0,0
R-16,Respiration,Nutrients,0,0,0
R-17,Respiration,Primary Production,0,0,0
R-18,Respiration,Respiration,NA,NA,NA
R-19,Respiration,Higher trophic levels,0,0,0
R-20,Respiration,Development,0,0,0
R-21,Respiration,Tourism,0,0,0
R-22,Respiration,Arctic policy and management,0,0,0
R-23,Respiration,Resource extraction ,0,0,0
R-24,Respiration,Pollution,0,0,0
S-2,Higher trophic levels,Clouds,0,0,0
S-3,Higher trophic levels,Precipitation,0,0,0
S-4,Higher trophic levels,Winds/ storms,0,0,0
S-5,Higher trophic levels,CO2,0,0,0
S-6,Higher trophic levels,DMS,0,0,0
S-7,Higher trophic levels,Freshwater,0,0,0
S-8,Higher trophic levels,Allochthonous organic carbon inputs,0,0,0
S-9,Higher trophic levels,Allochthonous nutrient inputs,0,0,0
S-10,Higher trophic levels,Allochthonous sediment inputs,0,0,0
S-11,Higher trophic levels,Sea ice (extent/ thickness),0,0,0
S-12,Higher trophic levels,Stratification,0,0,0
S-13,Higher trophic levels,Light,0,0,0
S-14,Higher trophic levels,Temperature,0,0,0
S-15,Higher trophic levels,pH,0,0,0
S-16,Higher trophic levels,Nutrients,0,0,0
S-17,Higher trophic levels,Primary Production,-,-,-
S-18,Higher trophic levels,Respiration,(+),(+),(+)
S-19,Higher trophic levels,Higher trophic levels,NA,NA,NA
S-20,Higher trophic levels,Development,0,0,0
S-21,Higher trophic levels,Tourism,+,+,+
S-22,Higher trophic levels,Arctic policy and management,- -,- -,- -
S-23,Higher trophic levels,Resource extraction ,+ + +,+ + +,+ + +
S-24,Higher trophic levels,Pollution,0,0,0
T-2,Development,Clouds,0,0,0
T-3,Development,Precipitation,0,0,0
T-4,Development,Winds/ storms,0,0,0
T-5,Development,CO2,+,+,+
T-6,Development,DMS,0,0,0
T-7,Development,Freshwater,-,-,-
T-8,Development,Allochthonous organic carbon inputs,0,0,0
T-9,Development,Allochthonous nutrient inputs,0,0,0
T-10,Development,Allochthonous sediment inputs,0,0,0
T-11,Development,Sea ice (extent/ thickness),0,0,0
T-12,Development,Stratification,0,0,0
T-13,Development,Light,0,0,0
T-14,Development,Temperature,0,0,0
T-15,Development,pH,0,0,0
T-16,Development,Nutrients,0,0,0
T-17,Development,Primary Production,0,0,0
T-18,Development,Respiration,0,0,0
T-19,Development,Higher trophic levels,- (-),- (-),- (-)
T-20,Development,Development,NA,NA,NA
T-21,Development,Tourism,+,+,+
T-22,Development,Arctic policy and management,+ +,+ +,+ +
T-23,Development,Resource extraction ,+,+,+
T-24,Development,Pollution,+,+,+
U-2,Tourism,Clouds,0,0,0
U-3,Tourism,Precipitation,0,0,0
U-4,Tourism,Winds/ storms,0,0,0
U-5,Tourism,CO2,0,0,0
U-6,Tourism,DMS,0,0,0
U-7,Tourism,Freshwater,0,0,0
U-8,Tourism,Allochthonous organic carbon inputs,0,0,0
U-9,Tourism,Allochthonous nutrient inputs,0,0,0
U-10,Tourism,Allochthonous sediment inputs,0,0,0
U-11,Tourism,Sea ice (extent/ thickness),0,0,0
U-12,Tourism,Stratification,0,0,0
U-13,Tourism,Light,0,0,0
U-14,Tourism,Temperature,0,0,0
U-15,Tourism,pH,0,0,0
U-16,Tourism,Nutrients,0,0,0
U-17,Tourism,Primary Production,0,0,0
U-18,Tourism,Respiration,0,0,0
U-19,Tourism,Higher trophic levels,0,0,0
U-20,Tourism,Development,+,+,+
U-21,Tourism,Tourism,NA,NA,NA
U-22,Tourism,Arctic policy and management,+,+,+ 
U-23,Tourism,Resource extraction ,0,0,0
U-24,Tourism,Pollution,+,+,+
V-2,Arctic policy and management,Clouds,0,0,0
V-3,Arctic policy and management,Precipitation,0,0,0
V-4,Arctic policy and management,Winds/ storms,0,0,0
V-5,Arctic policy and management,CO2,0,0,0
V-6,Arctic policy and management,DMS,0,0,0
V-7,Arctic policy and management,Freshwater,0,0,0
V-8,Arctic policy and management,Allochthonous organic carbon inputs,0,0,0
V-9,Arctic policy and management,Allochthonous nutrient inputs,0,0,0
V-10,Arctic policy and management,Allochthonous sediment inputs,0,0,0
V-11,Arctic policy and management,Sea ice (extent/ thickness),0,0,0
V-12,Arctic policy and management,Stratification,0,0,0
V-13,Arctic policy and management,Light,0,0,0
V-14,Arctic policy and management,Temperature,0,0,0
V-15,Arctic policy and management,pH,0,0,0
V-16,Arctic policy and management,Nutrients,0,0,0
V-17,Arctic policy and management,Primary Production,0,0,0
V-18,Arctic policy and management,Respiration,0,0,0
V-19,Arctic policy and management,Higher trophic levels,0,0,0
V-20,Arctic policy and management,Development,++ - -,- -,++
V-21,Arctic policy and management,Tourism,+ (+),+,++
V-22,Arctic policy and management,Arctic policy and management,NA,NA,NA
V-23,Arctic policy and management,Resource extraction ,++ - -,- - ,+ +
V-24,Arctic policy and management,Pollution,(+ -),-,+
W-2,Resource extraction ,Clouds,0,0,0
W-3,Resource extraction ,Precipitation,0,0,0
W-4,Resource extraction ,Winds/ storms,0,0,0
W-5,Resource extraction ,CO2,+,+,+
W-6,Resource extraction ,DMS,0,0,0
W-7,Resource extraction ,Freshwater,0,0,0
W-8,Resource extraction ,Allochthonous organic carbon inputs,0,0,0
W-9,Resource extraction ,Allochthonous nutrient inputs,0,0,0
W-10,Resource extraction ,Allochthonous sediment inputs,0,0,0
W-11,Resource extraction ,Sea ice (extent/ thickness),0,0,0
W-12,Resource extraction ,Stratification,0,0,0
W-13,Resource extraction ,Light,0,0,0
W-14,Resource extraction ,Temperature,0,0,0
W-15,Resource extraction ,pH,0,0,0
W-16,Resource extraction ,Nutrients,0,0,0
W-17,Resource extraction ,Primary Production,0,0,0
W-18,Resource extraction ,Respiration,0,0,0
W-19,Resource extraction ,Higher trophic levels,- -,- -,- -
W-20,Resource extraction ,Development,+,+,+
W-21,Resource extraction ,Tourism,0,0,0
W-22,Resource extraction ,Arctic policy and management,+ +,+ +,+ +
W-23,Resource extraction ,Resource extraction ,NA,NA,NA
W-24,Resource extraction ,Pollution,+,+,+
X-2,Pollution,Clouds,(+ -),+,+
X-3,Pollution,Precipitation,0,0,0
X-4,Pollution,Winds/ storms,0,0,0
X-5,Pollution,CO2,0,0,0
X-6,Pollution,DMS,0,0,0
X-7,Pollution,Freshwater,0,0,0
X-8,Pollution,Allochthonous organic carbon inputs,0,0,0
X-9,Pollution,Allochthonous nutrient inputs,0,0,0
X-10,Pollution,Allochthonous sediment inputs,0,0,0
X-11,Pollution,Sea ice (extent/ thickness),0,0,0
X-12,Pollution,Stratification,0,0,0
X-13,Pollution,Light,0,0,0
X-14,Pollution,Temperature,0,0,0
X-15,Pollution,pH,(-),(-),(-)
X-16,Pollution,Nutrients,0,0,0
X-17,Pollution,Primary Production,- ,- ,- 
X-18,Pollution,Respiration,0,0,0
X-19,Pollution,Higher trophic levels,- (-),- (-),- (-)
X-20,Pollution,Development,0,0,0
X-21,Pollution,Tourism,-,-,-
X-22,Pollution,Arctic policy and management,+,+,+
X-23,Pollution,Resource extraction ,-,-,-
X-24,Pollution,Pollution,NA,NA,NA
